date,match,winningTeam
2022-08-20,Singapore v HongKong,HongKong
2022-08-21,UAE v Kuwait,Kuwait
2022-08-22,UAE v Singapore,UAE
2022-08-23,Kuwait v HongKong,HongKong
2022-08-24,Singapore v Kuwait,Kuwait
2022-08-24,HongKong v UAE,HongKong
2022-08-27,Srilanka v Afghanistan,Afghanistan
2022-08-28,India v Pakistan,India
2022-08-30,Bangladesh v Afghanistan,Afghanistan
2022-08-31,India v HongKong,India
2022-09-01,Srilanka v Bangladesh,Srilanka
2022-09-02,Pakistan v HongKong,Pakistan
2022-09-03,Srilanka v Afghanistan,Srilanka
2022-09-04,India v Pakistan,Pakistan
2022-09-06,India v Srilanka,Srilanka
2022-09-07,Pakistan v Afghanistan,Pakistan
2022-09-08,India v Afghanistan,India
2022-09-09,Srilanka v Pakistan,Srilanka
2022-09-11,Srilanka v Pakistan,Srilanka
